id_player,id_team,kit_name,age,position,country
1104,11,Castagne,27,Defender,Belgium
1105,11,Kristiansen,20,Defender,Denmark
1106,11,Mendy,30,Midfielder,Senegal
1107,11,Maddison,26,Midfielder,England
1108,11,Dewsbury,24,Midfielder,England
1109,11,Barnes,25,Midfielder,England
1110,11,Tete,23,Forward,Brazil
1111,11,Iheanacho,26,Forward,Nigeria
1301,13,Ederson,29,Goalkeeper,Brazil
1302,13,Laporte,28,Defender,Spain
1303,13,Dias,25,Defender,Portugal
1304,13,Walker,32,Defender,England
1305,13,Rodri,26,Defender,Spain
1306,13,Silva,28,Midfielder,Portugal
1307,13,Grealish,27,Midfielder,England
1308,13,Foden,22,Midfielder,England
1309,13,De Bruyne,31,Midfielder,Belgium
1310,13,Gundogan,32,Forward,Germany
1311,13,Haaland,22,Forward,Norway
1401,14,De Gead,32,Goalkeeper,Spain
1402,14,Martinez,25,Defender,Argentina
1403,14,Varane,29,Defender,France
1404,14,Shaw,27,Defender,England
1405,14,Dalot,23,Defender,Portugal
1406,14,Sabitzer,28,Midfielder,Austria
1407,14,Casemiro,30,Midfielder,Brazil
1408,14,Fernandes,28,Midfielder,Portugal
1409,14,Garnacho,18,Midfielder,Argentina
1410,14,Weghorst,30,Forward,Netherlands
1411,14,Rashford,25,Forward,England
1501,15,Pope,30,Goalkeeper,England
1502,15,Botman,23,Defender,Netherlands
1503,15,Schar,31,Defender,Switzerland
1504,15,Burn,30,Defender,England
1505,15,Trippier,32,Defender,England
1506,15,Joelinton,26,Midfielder,Brazil
1507,15,Longstaff,22,Midfielder,England
1508,15,Anderson,20,Midfielder,Scotland
1509,15,Almiron,29,Midfielder,Paraguay
1510,15,Saint-Maxima,25,Forward,France
1511,15,Isak,23,Forward,Swedia
1601,16,Navas,36,Goalkeeper,Costa Rica
1602,16,Felipe,33,Defender,Brazil
1603,16,Worrall,26,Defender,England
1604,16,Aurier,30,Defender,Pantai Gading
1605,16,Lodi,24,Defender,Brazil
1606,16,Shelvey,30,Midfielder,England
1607,16,Freuler,30,Midfielder,Switzerland
1608,16,Colback,33,Midfielder,England
1609,16,Danilo,21,Midfielder,Brazil
1610,16,Gibbs-White,23,Forward,England
1611,16,Johnson,21,Forward,Wales
1701,17,Bazunu,21,Goalkeeper,Ireland
1702,17,Bella-Kotchap,21,Defender,Germany
1703,17,Bednarek,26,Defender,Poland
1704,17,Maitland-Niles,25,Defender,England
1705,17,Perraud,25,Defender,France
1706,17,Ward-Prowse,28,Midfielder,England
1707,17,Lavia,19,Midfielder,Belgium
1708,17,Armstrong,26,Midfielder,England
1709,17,Elyounoussi,28,Midfielder,Denmark
1710,17,Onuachu,28,Forward,Nigeria
1711,17,Sulemana,21,Forward,Ghana
1801,18,Forster,34,Goalkeeper,England
1802,18,Lenglet,27,Defender,France
1803,18,Romero,24,Defender,Argentina
1804,18,Dier,29,Defender,England
1805,18,Hojbjerg,27,Defender,Denmark
1806,18,Skipp,22,Midfielder,England
1807,18,Emerson,24,Midfielder,Brazil
1808,18,Son,30,Midfielder,South Korea
1809,18,Kulusevski,22,Midfielder,Swedia
1810,18,Richalison,25,Forward,Brazil
1811,18,Kane,29,Forward,England
1901,19,Fabianski,37,Goalkeeper,Poland
1902,19,Aguerd,26,Defender,Morocco
1903,19,Ogbonna,34,Defender,Italy
1904,19,Kehrer,26,Defender,Germany
1905,19,Soucek,27,Defender,Czech Republic
1906,19,Rice,24,Midfielder,England
1907,19,Emerson,28,Midfielder,Italy
1908,19,Coufal,30,Midfielder,Czech Republic
1909,19,Downes,24,Midfielder,England
1910,19,Bowen,26,Forward,England
1911,19,Antonio,32,Forward,Jamaica
2001,20,Sa,30,Goalkeeper,Portugal
2002,20,Kilman,25,Defender,England
2003,20,Dawson,32,Defender,England
2004,20,Semedo,29,Defender,Portugal
2005,20,Bueno,20,Defender,Spain
2006,20,Matheus Nunes,24,Midfielder,Portugal
2007,20,Neves,25,Midfielder,Portugal
2008,20,Moutinho,36,Midfielder,Portugal
2009,20,Traore,27,Midfielder,Spain
2010,20,Sarabia,30,Forward,Spain
2011,20,Cunha,23,Forward,Brazil
1201,12,Alisson,30,Goalkeeper,Brazil
1202,12,Gomez,25,Defender,England
1203,12,Van Dijk,31,Defender,Netherlands
1204,12,A. Arnold,24,Defender,England
1205,12,Robertson,28,Defender,Scotland
1206,12,Fabinho,29,Midfielder,Brazil
1207,12,Henderson,32,Midfielder,England
1208,12,Bajcetic,18,Midfielder,Spain
1209,12,Nunez,23,Midfielder,Uruguay
1210,12,Mohamed Salah,30,Forward,Egypt
1211,12,Gakpo,23,Forward,Netherlands
